ln_a,Q,H,Q_prime,H_prime,D_s,Xi_s,W_s,scaled_constraint_residual
1.640591878758257752e-02,1.152675782970954188e+00,1.227551410368222351e+00,-6.707266539954512274e-02,-5.311591205413781491e-01,2.436312624370197000e+01,2.524501756496744420e+01,1.571272138970939647e+00,3.145410756592396821e-15
1.669374192420683412e-02,1.152656480083002588e+00,1.227398586090546750e+00,-6.705754057131170509e-02,-5.307727700234851076e-01,2.434483948830652622e+01,2.522675758708538041e+01,1.570967873308411367e+00,1.226844307991002298e-14
1.698156506083108724e-02,1.152637181546233736e+00,1.227245872976673313e+00,-6.704243027491936513e-02,-5.303866753062160821e-01,2.432656285842444532e+01,2.520850770694950782e+01,1.570663841203384647e+00,1.112932297513125721e-14
1.726938819745534384e-02,1.152617887356471194e+00,1.227093270952996029e+00,-6.702733450872414012e-02,-5.300008362691757124e-01,2.430829634878308099e+01,2.519026791931563736e+01,1.570360042496086850e+00,3.225103000325041595e-15
1.755721133407960044e-02,1.152598597509526535e+00,1.226940779945938642e+00,-6.701225327112357577e-02,-5.296152527919921749e-01,2.429003995410007022e+01,2.517203821892985260e+01,1.570056477026823494e+00,1.801534634562478990e-14
1.784503447070385357e-02,1.152579312001218659e+00,1.226788399881963088e+00,-6.699718656053456345e-02,-5.292299247543132967e-01,2.427179366909161473e+01,2.515381860053677698e+01,1.569753144635988917e+00,2.478363832781017503e-15
1.813285760732811017e-02,1.152560030827371129e+00,1.226636130687566606e+00,-6.698213437535070758e-02,-5.288448520357889038e-01,2.425355748848876658e+01,2.513560905889583097e+01,1.569450045164069163e+00,2.085200079103908470e-15
1.842068074395236676e-02,1.152540753983798627e+00,1.226483972289278412e+00,-6.696709671400248587e-02,-5.284600345160909152e-01,2.423533140701452737e+01,2.511740958875838103e+01,1.569147178451632429e+00,9.640182857980420501e-15
1.870850388057662336e-02,1.152521481466324493e+00,1.226331924613664359e+00,-6.695207357491421429e-02,-5.280754720749020192e-01,2.421711541940022983e+01,2.509922018488407502e+01,1.568844544339335290e+00,8.421321730580696906e-15
1.899632701720087996e-02,1.152502213270765408e+00,1.226179987587323161e+00,-6.693706495655063482e-02,-5.276911645919287741e-01,2.419890952036791987e+01,2.508104084202326334e+01,1.568542142667916917e+00,2.361375265550115889e-15
1.928415015382513309e-02,1.152482949392945155e+00,1.226028161136890615e+00,-6.692207085735696337e-02,-5.273071119468820678e-01,2.418071370465294834e+01,2.506287155493956220e+01,1.568239973278208410e+00,4.408380065708464190e-15
1.957197329044938969e-02,1.152463689828684634e+00,1.225876445189035380e+00,-6.690709127580421467e-02,-5.269233140194929943e-01,2.416252796698695349e+01,2.504471231839284329e+01,1.567938036011124803e+00,4.369494612501486498e-15
1.985979642707364629e-02,1.152444434573805188e+00,1.225724839670460975e+00,-6.689212621037350648e-02,-5.265397706895069696e-01,2.414435230210371941e+01,2.502656312714510278e+01,1.567636330707667280e+00,6.062840554424949216e-15
2.014761956369789941e-02,1.152425183624130822e+00,1.225573344507906670e+00,-6.687717565954942600e-02,-5.261564818366815111e-01,2.412618670474171267e+01,2.500842397596298383e+01,1.567334857208925847e+00,1.110329057744358472e-14
2.043544270032215601e-02,1.152405936975480216e+00,1.225421959628143487e+00,-6.686223962185314229e-02,-5.257734473407978948e-01,2.410803116963160520e+01,2.499029485960531716e+01,1.567033615356069776e+00,6.851710286876862806e-15
2.072326583694641261e-02,1.152386694623678487e+00,1.225270684957979750e+00,-6.684731809577861006e-02,-5.253906670816388402e-01,2.408988569152031189e+01,2.497217577284713386e+01,1.566732604990364486e+00,7.403800577174534549e-15
2.101108897357066921e-02,1.152367456564549419e+00,1.225119520424257979e+00,-6.683241107986373497e-02,-5.250081409390143783e-01,2.407175026514420324e+01,2.495406671045289926e+01,1.566431825953155110e+00,1.803887444852995493e-14
2.129891211019492581e-02,1.152348222793916355e+00,1.224968465953854446e+00,-6.681751857262653582e-02,-5.246258687927372044e-01,2.405362488525316067e+01,2.493596766720055058e+01,1.566131278085878487e+00,1.654399223078563175e-15
