index,Q_exact,Q_approx,a_approx,H_over_sqrt_kappa_approx,Qdot_over_sqrt_kappa_approx,sqrt_kappa_dNT_dH_approx
53,101/100 + 53/20000,1.01265,4.291656041244244789788007664078754472308871794473818182022609774235008920439249651076,-0.06514351622324298962410153378260130631035385272734370619950407564751877350007392568529,0.002471800833617144009680047897256894460727321816655537221726529150974463126810020308505,0.3763050894992979315350785130672381069059168134421791160422117657128177291843239810273
54,101/100 + 54/20000,1.0127,4.286015633726576008490945342996139693369367427875690468752859707429298047850611879228,-0.06527296293807509000835056274332445363250337755592538022233037040422947983590392066566,0.00248649877585773498011686671506837010587546336038267256917643923914778400136415525222,0.3769962827659153034538879181329069754611143338887059675208456659031366174696196031245
55,101/100 + 55/20000,1.01275,4.280404751258360864114611766455978969956274868677248249935469930456492077462740142575,-0.06540216006527542656110478172632282725780579402957742701125685759105746362933874099906,0.002501225950843590432339972411481811652797388409300845139027271510666558388653086745714,0.377685818792408947013188028210721211082189809899245290836310843058134443728903603047
56,101/100 + 56/20000,1.0128,4.274823124363919183279582388152255735846090830875798877585446730017985417076333290761,-0.06553110908205048883601472622735116724336180349313195978540527604144036975270102827502,0.00251598230266131785026267520926487339627983300205750956973237895325492762224079663636,0.3783737068052817236812524753298501498941403459106691456269638128666622909830077882938
57,101/100 + 57/20000,1.01285,4.269270487067287889110147195555535237158888312776236233305592550529917514330504170913,-0.06565981145117878012743816401726692114294401296298380437988151367640233708270579649883,0.002530767775727001786726653816253067178450954986182338143540079812444229770772223053192,0.3790599559424197019883595115580507109204020246103851901381783187747096922080807643035
58,101/100 + 58/20000,1.0129,4.263746576833363810845919299019473110554290325500561860396948877976792544347750057406,-0.06578826862120722161463498412938776649361941140655968562730559028123974218510652943903,0.002545582314782984904358291788328969369417871957351901025161787558853092289780887876839,0.3797445752542902869007105413386200267195406579631156895955403799284335743053662562887
59,101/100 + 59/20000,1.01295,4.258251134510260051165552867599639482849024090018950510846358271291839628843604410623,-0.06591648202664413312031676115030612446405041356347667824101535135170802043021961931331,0.002560425864894692774495816575233802897509604892638496515047915465893958269928624882835,0.3804275737051195426134716637946973874003370520509504900030584255276232297326127309613
60,101/100 + 60/20000,1.013,4.252783904272846312060751030804871086475372027643836271836810662899959868964023138657,-0.06604445308814886312546978046248707269364467379463410563625106893701401950908777894566,0.00257529837144750167273646146671396758275601846594574968642354315774818290145183898133,0.3811089601740491492331180039038357525677385406480699727446296789616371918038120666129
61,101/100 + 61/20000,1.01305,4.247344633567444412817694549624285430098182837241048765190142904822055136958613712431,-0.06617218321271813886780273362897991376044953102680170029573618599681927693517894437545,0.002590199780143648625781913516451596921600070292061797928827567019722889124233519255127,0.3817887434562734228342177215858173524746584684315277718999129996705763628562649830801
62,101/100 + 62/20000,1.0131,4.24193307305765103986205221336192709837606616293906128076127501032836626498955038812,-0.06629967379386920558870142513282497267802249240623151496138899306954385574129727090866,0.002605130036999182979987182679593436593369325826775970485744484235804617418884390820541,0.3824669322641568177057731611068296032487005281208117138889929200954641626392330159015
63,101/100 + 63/20000,1.01315,4.236548976571260548845184308469970319804272157313103539336170191275199863610724631213,-0.06642692621181982228151390351269125049163821770828338829625168758335829438300591776824,0.002620089088340958777354254651354851993128621803374049156267439694085984755724228887262,0.3831435352283323192370384213604539584658254451751286857423805476883203670182578799743
64,101/100 + 64/20000,1.0132,4.231192101048261395298429894185800184327903683283771401698358435242686884753731594566,-0.06655394183366517963071262085930663732825441378374408697180922416142589774994503678208,0.002635076880803667239668625113493025224894747013893581733122972142439437231700235019811,0.3838185608987811258225214103027168475951057622320505401962163307719961138274850643901
65,101/100 + 65/20000,1.01325,4.225862206489880502329535730645379473002096086772729962034482639169526501595757833075,-0.06668072201355180421541623996364682099501078578482425584541302191184591275155018632336,0.002650093361326908676064849670263223579187494005848860078570597423130413943563836506178,0.3844920177458940083811732393882503181747046097766416018728267353059878082246310983672
66,101/100 + 66/20000,1.0133,4.220559055908650583016556269204983873757617404863877392735943060062928484315288568887,-0.06680726809284851148038946254034953928316532211341848783544051070909683579557526662321,0.00266513847715230314353702848828799899644114476768363482504117925552258439588602635384,0.3851639141615147265764270077231323396748742276698216640455199052426822537239186944682
67,101/100 + 67/20000,1.01335,4.21528241527947612217374316945621552835986477778773692510748331994616627420192892116,-0.06693358140031446845151565153612144043838770050283226214845365452615849772015028754817,0.002680212175820639203791790154081017538600515256532719814830796714875824112963478840445,0.3858342584599658715829559825897521586904126684210948491958627294206317928796661645749
68,101/100 + 68/20000,1.0134,4.21003205349167438779383072233812425257831033442792230858460839039242209441951680139,-0.06705966325226442568944684301608828718560531196909031717685057874224247173646462396808,0.002695314405169060133384635846826443998584882240106780522243831798783405290065232900084,0.3865030588790574962642754346176155965718149422982641341189045563720553140136731297873
69,101/100 + 69/20000,1.01345,4.204807742301968487454769076231136852802321607151812268638939514733463696681366911075,-0.067185514952731176533321606243097774376914376083809359540388308003774022109614943387,0.002710445113328286957294932056709903829105031057951405779085165534833174654466063441358,0.3871703235810788848944113816553623073717428795663710702452931691233771033298700652697
70,101/100 + 70/20000,1.0135,4.199609256288410110030945568991962298458613999920605959135752673315414961533521718861,-0.06731113779362530028479362860072449891357293274007967469602596100744801990135199678508,0.002725604248719877688989577360957436683382660329960055704600160716180203706238861503039,0.3878360606537738060688908738215564041280039065727632433398112480584160136844300017701
71,101/100 + 71/20000,1.01355,4.194436372805210198856569843005093353479450164082739374124700591826995752265288672947,-0.06743653305489224461986942472023923091268211970699150681209779305644154185117036388239,0.002740791760053522172609306499111202899144576467616590358696312406022080594472244087371,0.3885002781112995841976378107556099051126397101398817063649253041048312553910778328312
72,101/100 + 72/20000,1.0136,4.189288871938456389713341757895521835663938990024003534849489076569585808157190047791,-0.06756170200466680119099299965936513717689082597725020604698828487325252058228628923414,0.002756007596324371935193344314641244152845638400603160117034215623939360442880039094133,0.3891629838951703169476184231550612555207700012337978987256699523114789262026430228796
73,101/100 + 73/20000,1.01365,4.184166536462696616291876970089180614738181694322376984506929339363467420170401282487,-0.06768664589942502709326198383695361750767392087277425283429880029401849794409042692476,0.002771251706810404468846024810793227917572445946879817227728899593805039307198671442627,0.3898241858751845581991611815716805389707976321816964900070684299615099263747514263616
74,101/100 + 74/20000,1.0137,4.179069151798368837718719201509993120778986237441641119314151978346915659026953131791,-0.06781136598413366361547796371139898691958412761453986065960053707403807249193241871822,0.002786524041069821374451128358213228771637269744741706183366602136283543962358973365617,0.3904838918503377784899137616304354511098967163881745542790130965731627340332291850552
75,101/100 + 75/20000,1.01375,4.173996505970057377937178756103841087428846936108997945967080768608847261310160735872,-0.06793586349239710247782706297444718449085066326746176515946855434442277007689112140604,0.002801824548938479809963893762808335095388855549824932627616590058235764890435592691109,0.3911421095497199075377691268412846402722036805099137865572884056281423166516737124737
